Time(ms),Error
91.67242050170898,31
181.68187141418457,30
270.90930938720703,29
371.5541362762451,27
460.4330062866211,27
549.4167804718018,27
638.6165618896484,25
728.2626628875732,25
818.4547424316406,25
912.7304553985596,25
1002.1977424621582,23
1092.757225036621,23
1184.891939163208,23
1274.742603302002,23
1363.4166717529297,23
1453.3395767211914,23
1543.0881977081299,23
1633.5558891296387,23
1723.7937450408936,23
1812.513828277588,22
1902.0555019378662,22
1993.5808181762695,22
2090.698719024658,18
2179.861307144165,18
2268.9945697784424,18
2357.564687728882,18
2445.5435276031494,18
2534.2350006103516,18
2624.1815090179443,18
2713.3421897888184,18
2802.337408065796,18
2891.3800716400146,17
2980.6196689605713,17
3072.1912384033203,17
3160.9222888946533,17
3251.0268688201904,17
3340.120315551758,17
3428.3511638641357,17
3517.0414447784424,13
3606.3404083251953,13
3701.275587081909,13
3790.0350093841553,13
3880.1844120025635,13
3969.2955017089844,12
4059.4518184661865,12
4149.447441101074,12
4238.603353500366,12
4359.627723693848,12
4453.6237716674805,12
4542.920827865601,11
4632.307052612305,11
4721.131086349487,11
4810.495853424072,9
4900.327444076538,9
4999.695539474487,9
5098.6175537109375,9
5187.699556350708,7
5276.142597198486,7
5369.06886100769,6
5458.059072494507,5
5546.00715637207,5
5635.147333145142,5
5724.532604217529,5
5819.840431213379,5
5910.134315490723,3
6000.7829666137695,3
6091.551065444946,3
6180.686473846436,1
6269.9830532073975,1
6359.22384262085,1
6449.238300323486,1
6546.7493534088135,1
6641.737461090088,0
