Time(ms),Error
90.20280838012695,15
177.54769325256348,15
265.6135559082031,15
352.66876220703125,15
438.92931938171387,15
525.4220962524414,15
614.4986152648926,15
701.5321254730225,14
804.7757148742676,14
891.664981842041,13
980.6368350982666,13
1067.716360092163,13
1154.3707847595215,13
1241.2209510803223,13
1327.5706768035889,10
1414.011001586914,10
1499.9325275421143,10
1587.0332717895508,10
1674.8406887054443,10
1761.4514827728271,10
1849.7366905212402,10
1937.3993873596191,10
2024.6260166168213,10
2112.3433113098145,9
2199.9592781066895,8
2285.781145095825,7
2372.093915939331,6
2459.2325687408447,6
2545.992851257324,5
2632.5669288635254,5
2719.5472717285156,5
2806.009531021118,5
2892.930269241333,3
2980.107545852661,3
3066.544771194458,3
3153.794050216675,3
3240.7758235931396,3
3327.84366607666,2
3415.0168895721436,2
3502.1398067474365,1
3588.820695877075,1
3677.0424842834473,0
