Time(ms),Error
90.78431129455566,33
178.91168594360352,31
266.60609245300293,31
353.8818359375,31
441.2987232208252,31
529.0117263793945,31
617.4502372741699,31
704.7269344329834,25
791.8050289154053,25
879.4307708740234,25
967.0155048370361,20
1054.175853729248,20
1142.329454421997,20
1258.11767578125,20
1350.5618572235107,20
1438.018560409546,20
1525.7651805877686,20
1613.4519577026367,20
1700.6902694702148,20
1789.5042896270752,20
1877.2501945495605,18
1965.6634330749512,18
2053.8458824157715,18
2141.278028488159,18
2228.6860942840576,18
2315.1912689208984,18
2401.722192764282,18
2488.454580307007,17
2575.4151344299316,17
2662.602186203003,17
2751.3179779052734,17
2838.3212089538574,17
2925.0454902648926,17
3011.199474334717,16
3098.1626510620117,16
3185.6396198272705,14
3275.4580974578857,14
3362.433433532715,13
3449.860095977783,12
3535.8235836029053,12
3622.7381229400635,12
3709.3253135681152,11
3797.1882820129395,11
3884.032964706421,10
3970.7510471343994,9
4057.5473308563232,9
4144.96636390686,9
4231.526136398315,9
4318.379640579224,9
4405.740976333618,9
4492.42901802063,9
4579.082727432251,8
4666.056394577026,8
4763.833522796631,7
4862.2682094573975,7
4949.35154914856,7
5036.22579574585,6
5122.536659240723,6
5208.937406539917,4
5295.402765274048,4
5381.847620010376,3
5468.998670578003,3
5555.94277381897,3
5642.419815063477,3
5729.085445404053,2
5817.425489425659,2
5903.83505821228,2
5991.1980628967285,1
6078.148126602173,1
6168.924808502197,1
6255.714893341064,1
6342.793226242065,0
