Time(ms),Error
92.12589263916016,19
182.84249305725098,16
273.2081413269043,16
363.9698028564453,13
454.59437370300293,13
545.3522205352783,13
639.9176120758057,13
732.3281764984131,12
823.4202861785889,12
913.7866497039795,12
1005.8608055114746,12
1099.9948978424072,12
1205.719232559204,11
1303.6162853240967,11
1400.2413749694824,11
1522.0444202423096,11
1614.9253845214844,11
1717.8759574890137,11
1815.807819366455,10
1926.5494346618652,8
2022.538423538208,8
2115.7493591308594,8
2208.8077068328857,8
2302.3009300231934,8
2392.3630714416504,7
2484.1244220733643,6
2584.6493244171143,6
2689.7878646850586,6
2788.996458053589,4
2882.7199935913086,4
2976.747989654541,4
3070.2600479125977,4
3161.9911193847656,4
3252.2764205932617,3
3345.7977771759033,3
3436.871290206909,2
3526.1950492858887,2
3615.2637004852295,1
3709.120512008667,1
3799.5593547821045,0
