Time(ms),Error
90.75307846069336,17
180.80568313598633,14
270.251989364624,14
360.02445220947266,14
448.819637298584,14
537.5785827636719,12
627.112627029419,12
717.1750068664551,12
805.5074214935303,12
895.0607776641846,11
987.4119758605957,11
1077.6867866516113,9
1166.7156219482422,9
1255.9847831726074,9
1344.5899486541748,8
1433.2637786865234,8
1521.759033203125,8
1611.3884449005127,8
1701.364278793335,6
1796.3168621063232,5
1888.0088329315186,5
1978.341817855835,5
2068.1204795837402,5
2157.8545570373535,4
2246.9732761383057,4
2336.12322807312,4
2430.328607559204,3
2523.0166912078857,3
2611.271858215332,2
2703.63712310791,2
2795.088768005371,1
2884.476661682129,1
2982.4626445770264,1
3080.177068710327,1
3170.137405395508,0
