Time(ms),Error
92.65017509460449,12
183.26330184936523,12
273.0576992034912,12
362.76984214782715,12
453.125,12
546.6914176940918,12
638.1466388702393,12
728.3155918121338,12
819.0250396728516,12
913.1031036376953,10
1003.9126873016357,10
1095.1013565063477,9
1185.281753540039,9
1274.5938301086426,8
1364.9463653564453,8
1455.2764892578125,8
1545.027494430542,8
1640.7244205474854,8
1730.863094329834,8
1821.4080333709717,7
1912.2400283813477,7
2004.2061805725098,7
2095.5281257629395,6
2186.4750385284424,6
2277.3680686950684,6
2366.8789863586426,6
2458.2560062408447,5
2548.3720302581787,5
2643.549919128418,5
2732.815742492676,5
2822.6916790008545,5
2914.362907409668,2
3005.3529739379883,2
3096.8213081359863,2
3188.777208328247,2
3278.6941528320312,2
3368.7806129455566,2
3459.2137336730957,1
3549.514055252075,1
3639.085531234741,0
