Time(ms),Error
0.113593,14
0.225022,14
0.357846,14
0.500058,14
0.63553,14
0.775286,13
0.92399,13
1.039,13
1.15085,13
1.26172,13
1.37332,13
1.48561,13
1.59691,13
1.71529,13
1.82618,13
1.93684,13
2.04839,13
2.16035,13
2.27192,13
2.38239,13
2.49345,9
2.60331,8
2.72732,8
2.89161,8
3.09937,8
3.22918,8
3.3541,8
3.46161,8
3.56931,8
3.68301,8
3.79157,8
3.89988,8
4.00763,8
4.11445,8
4.2224,8
4.33038,8
4.4387,8
4.54683,8
4.65822,8
4.76466,8
4.87223,8
4.97983,8
5.08712,6
5.19306,5
5.29765,4
5.4015,4
5.50421,4
5.6072,4
5.71709,4
5.81922,4
5.92065,4
6.02172,4
6.1228,4
6.22407,4
6.32506,4
6.42586,4
6.5266,4
6.62724,3
6.73736,3
6.83744,3
6.93664,3
7.03557,2
7.13325,2
7.23121,2
7.32797,2
7.42514,2
7.52163,2
7.61815,2
7.7144,1
7.80965,1
7.92577,1
8.02406,1
8.11832,1
8.21206,0
