Time(ms),Error
0.155986,16
0.323691,16
0.466744,13
0.612223,13
0.754279,13
0.900498,13
1.04248,13
1.18463,13
1.32683,13
1.46847,11
1.6103,11
1.78418,9
1.92652,9
2.08482,9
2.2253,9
2.3653,9
2.50553,9
2.65037,9
2.79088,8
2.93083,8
3.08537,8
3.22484,8
3.36267,8
3.50566,8
3.64332,8
3.78311,8
3.92189,8
4.05971,8
4.19849,8
4.34052,8
4.478,8
4.6275,8
4.76577,8
4.90517,8
5.04205,7
5.18181,7
5.34055,7
5.47936,7
5.6179,7
5.7559,7
5.90386,7
6.04083,7
6.18081,7
6.3179,7
6.45474,7
6.59111,7
6.74111,7
6.87682,7
7.0177,7
7.15419,7
7.29052,7
7.42672,5
7.57056,5
7.70491,5
7.8453,5
7.98428,5
8.11751,4
8.25075,4
8.38397,4
8.56435,4
8.73145,4
8.89137,4
9.03098,4
9.16255,4
9.29391,4
9.4425,4
9.57406,3
9.70525,3
9.83536,3
9.96562,3
10.0944,3
10.2238,3
10.369,3
10.4997,3
10.6443,3
10.7737,3
10.903,3
11.0314,2
11.1596,2
11.2879,2
11.4166,2
11.5435,2
11.6707,2
11.8066,2
11.9343,2
12.0634,2
12.1898,2
12.3168,2
12.4449,2
12.572,2
12.7045,1
12.839,1
12.9805,1
13.1135,1
13.2423,1
13.4137,1
13.5886,1
13.7209,1
13.8504,1
13.9769,1
14.1023,1
14.242,1
14.3737,1
14.5188,1
14.644,1
14.769,1
14.8954,1
15.0204,1
15.1458,1
15.2884,0
