Time(ms),Error
121.99068069458008,28
242.31934547424316,28
362.1091842651367,28
481.25195503234863,28
601.4747619628906,26
723.2697010040283,26
842.5147533416748,26
968.0817127227783,26
1086.7235660552979,26
1205.1892280578613,26
1325.019359588623,25
1442.8293704986572,25
1561.5131855010986,25
1681.0171604156494,24
1800.1084327697754,24
1918.4353351593018,24
2037.3141765594482,24
2155.5731296539307,24
2274.846076965332,24
2435.412883758545,24
2554.1672706604004,24
2676.7196655273438,22
2796.5028285980225,22
2915.9109592437744,22
3036.3709926605225,22
3156.015157699585,22
3278.158664703369,18
3397.9930877685547,18
3516.2148475646973,18
3636.298894882202,18
3754.3857097625732,18
3873.100996017456,18
3991.286516189575,18
4109.043836593628,18
4227.795839309692,18
4347.909212112427,18
4465.6383991241455,18
4583.983421325684,16
4701.709032058716,16
4821.687936782837,16
4941.838502883911,16
5066.900014877319,16
5188.508987426758,15
5307.621240615845,15
5425.16565322876,14
5552.120923995972,14
5674.024343490601,14
5791.465520858765,14
5909.961462020874,14
6028.273582458496,13
6146.470308303833,13
6265.016555786133,13
6383.582830429077,13
6501.762390136719,13
6619.904279708862,13
6738.369941711426,8
6857.587099075317,8
6975.895166397095,8
7100.288391113281,8
7218.553781509399,8
7336.645603179932,8
7454.390048980713,8
7572.933912277222,8
7691.213369369507,8
7808.990955352783,8
7927.287817001343,8
8046.053647994995,8
8166.143417358398,8
8290.471315383911,8
8414.85619544983,8
8538.95115852356,7
8662.993431091309,7
8788.109064102173,6
8913.491487503052,6
9037.678956985474,6
9161.849975585938,6
9286.136388778687,6
9409.584999084473,6
9533.306360244751,5
9655.93934059143,5
9778.624296188354,5
9902.442932128906,5
10025.37202835083,5
10148.099660873413,5
10270.656824111938,5
10393.213272094727,5
10515.974044799805,5
10638.399124145508,4
10761.21711730957,4
10887.151956558228,3
11009.808778762817,3
11132.379055023193,3
11253.852128982544,3
11392.300367355347,3
11535.841226577759,3
11659.050941467285,3
11780.79628944397,3
11902.99367904663,3
12025.701761245728,3
12147.18246459961,3
12270.094156265259,3
12393.168210983276,3
12516.866207122803,3
12639.265775680542,3
12760.835647583008,3
12889.544248580933,3
13013.174533843994,3
13136.4164352417,3
13259.06777381897,3
13382.009267807007,3
13504.73666191101,3
13631.155729293823,3
13759.305477142334,3
13886.357069015503,3
14007.999897003174,3
14129.00710105896,3
14249.784708023071,3
14370.214462280273,3
14512.370824813843,3
14636.566400527954,3
14757.21526145935,3
14896.080493927002,3
15020.368099212646,3
15143.809795379639,3
15268.871784210205,3
15389.358282089233,3
15512.738227844238,3
15632.824659347534,3
15754.81128692627,3
15896.865129470825,3
16017.83013343811,3
16140.515327453613,3
16261.417627334595,3
16382.724285125732,3
16502.97451019287,3
16630.49578666687,3
16750.70810317993,3
16871.806859970093,3
16996.767044067383,3
17117.671251296997,3
17238.59214782715,3
17358.98447036743,3
17478.670835494995,3
17598.344802856445,3
17718.918561935425,3
17838.48285675049,3
17958.46438407898,3
18080.39903640747,3
18200.851917266846,3
18321.199417114258,3
